Apple,n07739125
AppleSliced,n07739125
Tomato,n07734017
TomatoSliced,n07734017
Bread,n07679356
BreadSliced,n07679356
Sink,n02998563
Pot,n03990474
Pan,n03880323
Knife,n03623556
Fork,n00388392
Spoon,n04284002
Bowl,n00104409
Toaster,n04442312
CoffeeMachine,n03063338
Microwave,n03761084
StoveBurner,n04330340
Fridge,n03273913
Cabinet,n02933112
Egg,n01460457
Chair,n00598056
Lettuce,n07723559
Potato,n07710616
Mug,n03797390
Plate,n03176386
DiningTable,n03201208
CounterTop,n03118245
GarbageCan,n02747177
Omelette,n07842753
EggShell,n09432430
EggCracked,n09432430
StoveKnob,n03626014
Container,n03094503
Cup,n03147509
ButterKnife,n02928049
PotatoSliced,n07710616
MugFilled,n03797390
BowlFilled,n00104409
Statue,n04306847
LettuceSliced,n07723559
ContainerFull,n03094503
BowlDirty,n00104409
Sandwich,n07695965
Television,n04404412
HousePlant,n13083023
TissueBox,n15074962
VacuumCleaner,n04517823
Painting,n00609236
WateringCan,n04560292
Laptop,n03642806
RemoteControl,n04074963
Box,n00135148
Newspaper,n03822171
TissueBoxEmpty,n15074962
PaintingHanger,n00609236
KeyChain,n03615037
Dirt,n07223811
CellPhone,n02992529
CreditCard,n13376012
Cloth,n03309808
Candle,n02948072
Toilet,n00828704
Plunger,n03948950
Bathtub,n02808440
ToiletPaper,n15075141
ToiletPaperHanger,n15075141
SoapBottle,n03677231
SoapBottleFilled,n03677231
SoapBar,n02797455
ShowerDoor,n04209239
SprayBottle,n02682922
ScrubBrush,n04156140
ToiletPaperRoll,n15075298
Lamp,n03636248
LightSwitch,n04445952
Bed,n02818832
Book,n02870092
AlarmClock,n02694662
SportsEquipment,n04285146
Pen,n01858845
Pencil,n03908204
Blinds,n04589190
Mirror,n03773035
TowelHolder,n04459773
Towel,n04459362
Watch,n00880662
Shelf,n04190052
Dresser,n03015254
Desk,n03179701
SideTable,n03063968
Pillow,n03938244
Bench,n02828884
Cart,n02970849
ShowerGlass,n04209239
DeskLamp,n04380533
Window,n04587648
BathtubBasin,n02808440
SinkBasin,n04223580
CD,n02757061
Curtains,n09262233
Poster,n02387722
HandTowel,n03490006
HandTowelHolder,n04460038
Ladle,n03633091
WineBottle,n04591713
ShowerCurtain,n04209239
ShowerHead,n04209383
